"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000881","가평마장초등학교","02","공립","N","","1","11","11","1","13","13","1","7","7","1","14","14","1","15","15","1","8","8","1","3","3","0","0","0","7","71","10.1","8","8.9"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000882","가평초등학교","02","공립","N","","4","99","24.8","4","104","26","4","110","27.5","6","145","24.2","5","128","25.6","5","134","26.8","1","4","4","0","0","0","29","724","25","32","22.6"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000885","대성초등학교","02","공립","N","","1","18","18","1","11","11","1","14","14","1","14","14","1","17","17","1","16","16","1","4","4","0","0","0","7","94","13.4","8","11.8"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000890","목동초등학교","02","공립","N","","1","14","14","1","13","13","1","7","7","1","14","14","1","14","14","1","12","12","1","2","2","0","0","0","7","76","10.9","8","9.5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000892","목동초등학교명지분교장","02","공립","N","","0","0","0","0","0","0","0","0","0","1","2","2","0","0","0","1","2","2","0","0","0","0","0","0","2","4","2","2","2"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000895","미원초등학교","02","공립","N","","2","34","17","2","33","16.5","3","36","12","2","47","23.5","2","43","21.5","2","47","23.5","1","5","5","0","0","0","14","245","17.5","17","14.4"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000899","미원초등학교위곡분교장","02","공립","N","","0","0","0","1","7","7","0","0","0","1","7","7","1","4","4","1","5","5","0","0","0","0","0","0","4","23","5.8","5","4.6"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000900","미원초등학교장락분교장","02","공립","N","","1","3","3","0","0","0","0","0","0","1","6","6","0","0","0","1","1","1","1","2","2","0","0","0","4","12","3","5","2.4"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000901","방일초등학교","02","공립","N","","1","9","9","1","5","5","1","12","12","1","8","8","1","9","9","1","6","6","1","3","3","0","0","0","7","52","7.4","8","6.5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000905","상면초등학교","02","공립","N","","1","9","9","1","7","7","1","11","11","1","7","7","1","9","9","1","13","13","1","4","4","0","0","0","7","60","8.6","8","7.5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000906","상색초등학교","02","공립","N","","1","13","13","1","7","7","1","7","7","1","8","8","1","15","15","1","6","6","1","4","4","0","0","0","7","60","8.6","8","7.5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000908","상천초등학교","02","공립","N","","1","11","11","1","9","9","1","12","12","1","4","4","1","10","10","1","11","11","0","0","0","0","0","0","6","57","9.5","7","8.1"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000910","연하초등학교","02","공립","N","","1","21","21","1","16","16","1","16","16","1","20","20","1","16","16","1","18","18","1","2","2","0","0","0","7","109","15.6","8","13.6"
