"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000876","가평중학교","03","공립","N","","6","171","28.5","6","159","26.5","7","172","24.6","2","11","5.5","0","0","0","21","513","24.4","38","13.5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000877","가평북중학교","03","공립","N","","1","10","10","1","10","10","1","12","12","1","4","4","0","0","0","4","36","9","13","2.8"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000878","설악중학교","03","공립","N","","3","56","18.7","3","59","19.7","3","56","18.7","1","4","4","0","0","0","10","175","17.5","20","8.8"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000879","조종중학교","03","공립","N","","3","82","27.3","3","68","22.7","3","76","25.3","1","8","8","0","0","0","10","234","23.4","20","11.7"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000880","청평중학교","03","공립","N","","3","70","23.3","3","67","22.3","3","71","23.7","1","6","6","0","0","0","10","214","21.4","21","10.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000944","가람중학교","03","공립","N","","5","139","27.8","5","134","26.8","5","137","27.4","1","3","3","0","0","0","16","413","25.8","28","14.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000946","고양중학교","03","공립","N","","10","276","27.6","10","276","27.6","8","223","27.9","1","9","9","0","0","0","29","784","27","51","15.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000947","능곡중학교","03","공립","N","","6","153","25.5","5","120","24","5","137","27.4","0","0","0","0","0","0","16","410","25.6","28","14.6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000948","대화중학교","03","공립","N","","6","153","25.5","5","132","26.4","7","177","25.3","0","0","0","0","0","0","18","462","25.7","32","14.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000949","덕양중학교","03","공립","N","","3","57","19","3","66","22","3","59","19.7","1","6","6","0","0","0","10","188","18.8","20","9.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000950","무원중학교","03","공립","N","","6","151","25.2","6","153","25.5","7","172","24.6","1","6","6","1","2","2","21","484","23","35","13.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000951","발산중학교","03","공립","N","","10","278","27.8","10","275","27.5","10","298","29.8","1","1","1","0","0","0","31","852","27.5","54","15.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000952","백마중학교","03","공립","N","","7","194","27.7","7","193","27.6","8","218","27.3","1","6","6","0","0","0","23","611","26.6","41","14.9"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000953","백석중학교","03","공립","N","","5","139","27.8","5","135","27","6","162","27","1","5","5","0","0","0","17","441","25.9","29","15.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000954","백신중학교","03","공립","N","","10","280","28","10","274","27.4","10","276","27.6","1","5","5","0","0","0","31","835","26.9","54","15.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000955","백양중학교","03","공립","N","","4","107","26.8","4","103","25.8","5","126","25.2","1","4","4","0","0","0","14","340","24.3","24","14.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000956","고양제일중학교","03","사립","N","","10","274","27.4","11","289","26.3","11","308","28","0","0","0","0","0","0","32","871","27.2","57","15.3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000957","신능중학교","03","공립","N","","4","109","27.3","4","95","23.8","5","126","25.2","1","6","6","0","0","0","14","336","24","24","14"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000958","신일중학교","03","공립","N","","10","277","27.7","11","309","28.1","12","339","28.3","1","4","4","0","0","0","34","929","27.3","59","15.7"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000959","오마중학교","03","공립","N","","11","309","28.1","11","312","28.4","13","367","28.2","0","0","0","0","0","0","35","988","28.2","62","15.9"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000960","원당중학교","03","공립","N","","3","58","19.3","3","60","20","3","64","21.3","0","0","0","0","0","0","9","182","20.2","18","10.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000961","일산동중학교","03","공립","N","","7","185","26.4","7","188","26.9","7","181","25.9","2","11","5.5","0","0","0","23","565","24.6","39","14.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000962","일산중학교","03","공립","N","","6","148","24.7","5","127","25.4","5","119","23.8","1","3","3","0","0","0","17","397","23.4","29","13.7"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000963","장성중학교","03","공립","N","","5","139","27.8","5","133","26.6","7","174","24.9","2","7","3.5","0","0","0","19","453","23.8","32","14.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000964","저동중학교","03","공립","N","","6","160","26.7","6","146","24.3","6","154","25.7","1","5","5","0","0","0","19","465","24.5","33","14.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000965","정발중학교","03","공립","N","","11","308","28","11","299","27.2","12","336","28","0","0","0","0","0","0","34","943","27.7","60","15.7"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000966","중산중학교","03","공립","N","","6","155","25.8","6","153","25.5","7","174","24.9","1","3","3","0","0","0","20","485","24.3","34","14.3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000967","지도중학교","03","공립","N","","6","166","27.7","6","153","25.5","7","177","25.3","1","5","5","0","0","0","20","501","25.1","34","14.7"
